FinalID,ReefBuildingSpecies,CommonEnglish,Type,OrbicellaAcropora,BCG Attribute,RedListCategory,DepthRange_m,DepthCategory,LifeHistoryStrategy,Darling etal 2012 Life History Group,origReefBuilding,ReproPattern_Mode,ReproPattern,ReproMode,YearlyGametogenesis,AnnualGametogeneses,SpawningBroodingEvents,SpawningBroodingSeason,GrowthForm,OLD_Morphology,MorphologyIndex,GrowthRate_cm_yr,GrowthRate_code,MeanSize,Susc3stars,SedimentSusceptibility,SedSuscCode,SedBCG_DELETE,BleachingSusceptibility,BleachSuscCode,BleachBCG_DELETE,DiseaseSusceptibility,DiseaseSuscCode,DiseaseBCG_DELETE,PATHOGENICDISEASES,GEOGRAPHICDISTRIBUTION,OBSERVATIONS_COMMENTS
Oculina robusta,,Robust ivory coral,Scleractinian,,,Data deficient,oct-30,MidDepth,W,,,G - S,G,S,?,,>1,?,BR-CR,,,?,?,Small,,*,Low,1,***,HiMod,03-abr,?,,,?,Florida - Eastern coast US,More common in temperated environments - azooxanthellated
Oculina valeciennesi,,Small ivory coral,Scleractinian,,,,may-20,Shallow,W,,,G - S,G,S,?,,?,?,BR,,,?,?,Small,,*,Low,1,***,HiMod,03-abr,?,,,?,Wider Caribbean except Bermuda,Restricted to the cnetral and southern Caribbean
Oculina varicosa,,Large ivory coral,Scleractinian,,,Vulnerable,may-20,Shallow,W,,,G - S,G,S,?,,?,SU-FA?,BR-CR,,,?,?,Small - Medium,,*,Low,1,**,LoMod,3,?,,,?,Wider Caribbean,"Short, thick branches and small colonies."
Orbicella annularis,X,Lobed star coral,Scleractinian,OrbAcrp,4,,ene-25,MidDepth,G,4 - Stress Tolerant,X,H - S,H,S,1,1,02-mar,SU-FA,CO-BO-SM,"columns with upward growth on top, sides usually senescent",3,0.4 - 1.4,Slow,Medium - Very Large,9,*,Low,2,****,High,04-may,****,High,04-may,BBD-CYBD-WPD-DSD-RBD-CCI-GAN-OTH-SCTLD,Wider Caribbean except Bermuda,Recently reclassified into a different family. Threatened species (ESA-IUCN)
Orbicella annularis complex,X,Lobed star coral,Scleractinian,OrbAcrp,4,,ene-25,MidDepth,G,4 - Stress Tolerant,X,H - S,H,S,1,1,02-mar,SU-FA,CO-BO-SM,same as species,3,0.4 - 1.4,Slow,Medium - Very Large,9,*,Low,2,****,High,04-may,****,High,04-may,BBD-CYBD-WPD-DSD-RBD-CCI-GAN-OTH-SCTLD,Wider Caribbean except Bermuda,Recently reclassified into a different family. Threatened species (ESA-IUCN)
Orbicella faveolata,X,Mountainous star coral,Scleractinian,OrbAcrp,4,,ene-25,MidDepth,G,3 - Intermediate,X,H - S,H,S,1,1,02-mar,SU-FA,BO-MA-SM-CR,"mound with head or sheets, with smooth versions having keels or bumps.",2,0.5 - 1.2,Slow,Medium - Very Large,10,**,LoMod,3,****,High,04-may,****,High,04-may,BBD-CYBD-WPD-DSD-RBD-CCI-GAN-OTH-SCTDL-IMS,Wider Caribbean,Recently reclassified into a different family. Threatened species (ESA-IUCN)
Orbicella franksi,X,Boulder star coral,Scleractinian,OrbAcrp,4,,oct-45,Broad,G,3 - Intermediate,X,H - S,H,S,1,1,02-mar,SU-FA,BO-MA-SM-CR,boulder,2,0.15 - 0.6,Slow,Medium - Very Large,8,**,LoMod,3,***,HiMod,04-may,***,HiMod,4,BBD-CYBD-WPD-DSD-GAN-CCI-OTH-SCTLD-IMS,Wider Caribbean,Recently reclassified into a different family. Threatened species (ESA-IUCN)
Orbicella spp,X,,Scleractinian,OrbAcrp,4,,,MidDepth,G,,X,H - S,H,S,1,1,02-mar,SU-FA,BO-MA-SM-CR,based on species within genus,2,,Slow,Medium - Very Large,9,,LoMod,,,High,,,High,,,,
Orbicella,X,,Scleractinian,OrbAcrp,4,,,MidDepth,G,,X,H - S,H,S,1,1,02-mar,SU-FA,BO-MA-SM-CR,based on species within genus,2,,Slow,Medium - Very Large,9,,LoMod,,,High,,,High,,,,
Porites astreoides,,Mustard hill coral,Scleractinian,,5,Least concern,ene-50,Broad,W,2 - Weedy,,MP - B ,,B,02-jul,Multi,>5,SP-SU-FA,CR-SM-PL,"encrusting, domes",2,0.19 - 1.4,Slow,Medium,6,***,HiMod,03-abr,*,Low,01-feb,**,LoMod,02-mar,BBD - RBD - WPD - CCI - OTH,Wider Caribbean,Wide depth distribution and colormorphs
