FinalID,CommonEnglish,BCGAttribute,BCGAttributeFl,RedListCategory,Guild,PiscivoreSize
Cephalopholis fulva,Coney,III,NA,LC,P,SP
Chaetodon capistratus,Foureye butterflyfish,III,NA,LC,I,NA
Chaetodon ocellatus,Spotfin butterflyfish,III,NA,LC,I,NA
Chaetodon striatus,Banded butterflyfish,III,NA,LC,I,NA
Chilomycterus antennatus,Bridled burrfish,III,NA,LC,I,NA
Chromis insolata,Sunshinefish,III,NA,LC,Z,NA
Coryphopterus dicrus,Colon goby,III,III,LC,I,NA
Coryphopterus eidolon,Pallid goby,III,III,VU,I,NA
Coryphopterus lipernes,Peppermint goby,III,NA,VU,I,NA
Cosmocampus elucens,Shortfin pipefish,III,NA,LC,I,NA
Diodon holocanthus,Balloonfish,III,NA,LC,I,NA
Echidna catenata,Chain moray,III,NA,LC,I,NA
Elacatinus chancei,Shortstripe goby,III,NA,LC,I,NA
Elacatinus louisae,Spotlight goby,III,NA,LC,I,NA
Emmelichthyops atlanticus,Bonnetmouth,III,NA,LC,P,SP
Epinephelus adscensionis,Rock hind,III,NA,LC,I,NA
Epinephelus guttatus,Red hind,III,NA,LC,P,SP
Equetus lanceolatus,Jackknife fish,III,NA,LC,I,NA
Equetus punctatus,Spotted drum,III,NA,LC,I,NA
Gymnothorax miliaris,Goldentail moray,III,NA,LC,P,SP
Gymnothorax vicinus,Purplemouth moray,III,NA,LC,P,SP
Haemulon album,Margate (White),III,NA,DD,I,NA
Haemulon carbonarium,Caesar grunt,III,NA,LC,I,NA
Haemulon flavolineatum,French grunt,III,NA,LC,I,NA
Haemulon macrostomum,Spanish grunt,III,NA,LC,I,NA
Haemulon parra,Sailors choice,III,NA,LC,I,NA
Halichoeres garnoti,Yellowhead wrasse,III,NA,LC,I,NA
Halichoeres maculipinna,Clown wrasse,III,NA,LC,I,NA
Halichoeres pictus,Rainbow wrasse,III,NA,LC,I,NA
Hippocampus reidi,Longsnout seahorse,III,NA,NT,I,NA
Holocentrus adscensionis,Squirrelfish,III,NA,LC,I,NA
Holocentrus rufus,Longspine squirrelfish,III,NA,LC,I,NA
Hypoplectrus aberrans,Yellowbelly hamlet,III,NA,LC,I,NA
Hypoplectrus chlorurus,Yellowtail hamlet,III,NA,LC,I,NA
Hypoplectrus guttavarius,Shy hamlet,III,NA,LC,I,NA
Hypoplectrus indigo,Indigo hamlet,III,NA,LC,I,NA
Hypoplectrus nigricans,Black hamlet,III,NA,LC,P,SP
Hypoplectrus puella,Barred hamlet,III,NA,LC,I,NA
Hypoplectrus randallorum,Tan hamlet,III,NA,LC,I,NA
Hypoplectrus unicolor,Butter hamlet,III,NA,LC,P,SP
Kyphosus sectator,Chub (Bermuda/Yellow),III,NA,NA,H,NA
Labrisomus nuchipinnis,Hairy blenny,III,NA,LC,I,NA
Liopropoma rubre,Peppermint basslet,III,NA,LC,I,NA
Lutjanus buccanella,Blackfin snapper,III,NA,DD,P,SP
Lutjanus mahogoni,Mahogany snapper,III,NA,LC,P,SP
Lutjanus synagris,Lane snapper,III,NA,NT,P,SP
Malacanthus plumieri,Sand tilefish,III,NA,LC,I,NA
Malacoctenus aurolineatus,Goldline blenny,III,III,LC,I,NA
Malacoctenus macropus,Rosy blenny,III,III,LC,I,NA
Malacoctenus versicolor,Barfin blenny,III,NA,LC,I,NA
Megalops atlanticus,Tarpon,III,NA,VU,P,LP
Microspathodon chrysurus,Yellowtail damselfish,III,NA,LC,H,NA
Monacanthus ciliatus,Fringed filefish,III,NA,LC,H,NA
Monacanthus tuckeri,Slender filefish,III,NA,LC,Z,NA
Mulloidichthys martinicus,Yellow goatfish,III,NA,LC,I,NA
Myrichthys breviceps,Sharptail eel,III,NA,LC,I,NA
Myrichthys ocellatus,Goldspotted eel,III,NA,LC,I,NA
Myripristis jacobus,Blackbar soldierfish,III,NA,LC,I,NA
Neonifon marianus,Longjaw squirrelfish,III,NA,NA,I,NA
Odontoscion dentex,Reef croaker,III,NA,LC,Z,NA
Ophichthus ophis,Spotted snake eel,III,NA,LC,P,SP
Opistognathus aurifrons,Yellowhead jawfish,III,NA,LC,Z,NA
Opistognathus macrognathus,Banded jawfish,III,NA,LC,I,NA
Opistognathus whitehursti,Dusky jawfish,III,NA,LC,I,NA
Parablennius marmoreus,Seaweed blenny,III,III,LC,Z,NA
Pempheris schomburgkii,Glassy sweeper,III,NA,LC,I,NA
Pomacanthus arcuatus,Gray angelfish,III,NA,LC,I,NA
Pomacanthus paru,French angelfish,III,NA,LC,I,NA
Pseudupeneus maculatus,Spotted goatfish,III,NA,LC,I,NA
Rypticus saponaceus,Greater soapfish,III,NA,LC,NA,NA
Sargocentron bullisi,Deepwater squirrelfish,III,NA,LC,I,NA
Sargocentron coruscum,Reef squirrelfish,III,NA,LC,I,NA
Scarus iseri,Striped parrotfish,III,NA,LC,H,NA
Scarus taeniopterus,Princess parrotfish,III,NA,LC,H,NA
Scarus vetula,Queen parrotfish,III,NA,LC,H,NA
Scomberomorus cavalla,King mackerel,III,NA,LC,NA,NA
Scomberomorus maculatus,Spanish mackerel,III,NA,LC,NA,NA
Scorpaena plumieri,Spotted scorpionfish,III,NA,LC,I,NA
Selar crumenophthalmus,Bigeye scad,III,NA,LC,P,SP
Serranus tabacarius,Tobaccofish,III,NA,LC,P,SP
Sparisoma atomarium,Greenblotch parrotfish,III,NA,LC,H,NA
Sparisoma chrysopterum,Redtail parrotfish,III,NA,LC,H,NA
Sparisoma rubripinne,Yellowtail parrotfish,III,NA,LC,H,NA
Sparisoma viride,Stoplight parrotfish,III,NA,LC,H,NA
Sphoeroides spengleri,Bandtail puffer,III,NA,LC,I,NA
Sphyraena barracuda,Great barracuda,III,NA,LC,P,LP
Sphyraena picudilla,Southern sennet,III,NA,NA,P,SP
Stegastes partitus,Bicolor damselfish,III,NA,LC,H,NA
Abudefduf saxatilis,Sergeant major,IV,NA,LC,I,NA
Alphestes afer,Mutton hamlet,IV,NA,LC,I,NA
Anisotremus virginicus,Porkfish,IV,NA,LC,I,NA
Apogon maculatus,Flamefish,IV,NA,LC,Z,NA
Apogon pseudomaculatus,Twospot cardinalfish,IV,NA,LC,Z,NA
Apogon townsendi,Belted cardinalfish,IV,NA,LC,Z,NA
Archosargus rhomboidalis,Sea bream,IV,NA,LC,H,NA
Bothus lunatus,Peacock flounder,IV,NA,LC,P,SP
Bothus ocellatus,Eyed flounder,IV,NA,LC,P,SP
Calamus bajonado,Jolthead porgy,IV,NA,LC,I,NA
Calamus calamus,Saucereye porgy,IV,NA,LC,I,NA
Calamus nodosus,Knobbed porgy,IV,NA,LC,I,NA
Calamus penna,Sheepshead porgy,IV,NA,LC,I,NA
Calamus pennatula,Pluma,IV,NA,LC,I,NA
Calamus proridens,Littlehead porgy,IV,NA,LC,NA,NA
Calamus UNK,Porgy,IV,NA,NA,I,NA
Canthigaster rostrata,Sharpnose puffer,IV,NA,LC,I,NA
Carangoides bartholomaei,Yellow Jack,IV,NA,NA,P,LP
Caranx bartholomaei,Yellow Jack,IV,NA,NA,P,LP
Carangoides ruber,Bar jack,IV,NA,NA,P,SP
Caranx ruber,Bar jack,IV,NA,NA,P,SP
Chloroscombrus chrysurus,Atlantic bumper,IV,NA,LC,Z,NA
Conger triporiceps,Manytooth conger,IV,NA,LC,P,SP
Coryphopterus glaucofraenum,Bridled goby,IV,IV,LC,I,NA
Coryphopterus personatus/hyalinus,Masked/Glass goby,IV,IV,VU,I,NA
Cryptotomus roseus,Bluelip parrotfish,IV,NA,LC,H,NA
Ctenogobius saepepallens,Dash goby,IV,IV,LC,I,NA
Diodon hystrix,Porcupine fish,IV,NA,LC,I,NA
Eucinostomus argenteus,Spotfin mojarra/Silver mojarra,IV,NA,NA,NA,NA
Eucinostomus jonesii,Slender mojarra,IV,NA,LC,I,NA
Eucinostomus melanopterus,Flagfin mojarra,IV,NA,LC,I,NA
Gnatholepis thompsoni,Goldspot goby,IV,IV,LC,H,NA
Gymnothorax funebris,Green moray,IV,NA,LC,P,SP
Gymnothorax moringa,Spotted moray,IV,NA,LC,P,SP
Haemulon aurolineatum,Tomtate,IV,NA,LC,I,NA
Haemulon plumierii,White grunt,IV,NA,LC,I,NA
Haemulon sciurus,Bluestriped grunt,IV,NA,LC,I,NA
Halichoeres bivittatus,Slippery dick,IV,NA,LC,I,NA
Inermia vittata,Boga,IV,NA,NA,Z,NA
Lutjanus apodus,Schoolmaster,IV,NA,LC,P,SP
Lutjanus griseus,Gray snapper,IV,NA,LC,P,SP
Ocyurus chrysurus,Yellowtail snapper,IV,NA,DD,Z,NA
Ophioblennius macclurei,Redlip blenny,IV,IV,LC,H,NA
Paradiplogrammus bairdi,Lancer dragonet,IV,NA,NA,I,NA
Sargocentron vexillarium,Dusky squirrelfish,IV,NA,LC,I,NA
Serranus baldwini,Lantern bass,IV,NA,LC,I,NA
Serranus flaviventris,Twinspot bass,IV,NA,LC,P,SP
Serranus tortugarum,Chalk bass,IV,NA,LC,Z,NA
Sparisoma aurofrenatum,Redband parrotfish,IV,NA,LC,H,NA
Sparisoma radians,Bucktooth parrotfish,IV,NA,LC,H,NA
Stegastes adustus,Dusky damselfish,IV,NA,LC,H,NA
Stegastes diencaeus,Longfin damselfish,IV,NA,LC,H,NA
Stegastes leucostictus,Beaugregory,IV,NA,LC,H,NA
Stegastes planifrons,Threespot damselfish,IV,NA,LC,I,NA
Stegastes variabilis,Cocoa damselfish,IV,NA,LC,H,NA
Xyrichtys splendens,Green razorfish,IV,NA,LC,Z,NA
Diplodus argenteus,Silver porgy,V,NA,LC,H,NA
Gerres cinereus,Yellowfin mojarra,V,NA,LC,I,NA
Mugil cephalus,Striped mullet,V,NA,LC,Z,NA
Sphoeroides testudineus,Checkered puffer,V,NA,LC,I,NA
Synodus foetens,Inshore lizardfish,V,NA,LC,P,SP
Callogobius clitellus,Saddled goby,VI,NA,LC,I,NA
Pterois volitans,Red lionfish,VI,NA,LC,P,NA
Ablennes hians,Flat needlefish,x-MNS,NA,LC,P,SP
Acanthemblemaria UNK,Tube blenny,x-MNS,NA,NA,I,NA
Acanthocybium solandri,Wahoo,x-NRF,NA,LC,NA,NA
Acanthurus UNK,Surgeonfish,X-UNK,NA,NA,H,NA
Acentronura dendritica,Pipehorse,x-MNS,NA,LC,I,NA
Albula vulpes,Bonefish,x-NRF,NA,NT,I,NA
Alectis ciliaris,African pompano,x-NRF,NA,LC,P,SP
Apogon UNK,Cardinalfish,x-UNK,NA,NA,Z,NA
Archosargus probatocephalus,Sheepshead,x,NA,LC,I,NA
Atherinomorus stipes,Hardhead silverside,x-MNS,NA,LC,Z,NA
Balistes capriscus,Gray triggerfish,x,NA,VU,I,NA
Bathygobious soporator,Frillfin goby,x-MNS,NA,NA,I,NA
Belonidae UNK,Needlefish,x-UNK,NA,NA,P,SP
Bollmannia boqueronensis,White-eye goby,x-MNS,NA,LC,I,NA
Bothus UNK.,Flounder,x-UNK,NA,NA,P,SP
Canthigaster jamestyleri,Goldface toby,x,NA,LC,I,NA
Canthigaster UNK,Puffer,x-UNK,NA,NA,I,NA
Carcharhinus leucas,Bull shark,x,NA,NA,NA,NA
Caranx UNK,Jack,x-UNK,NA,VU,P,SP
Centropristis striata,Black sea bass,x,NA,LC,P,SP
Centropyge argi,Cherubfish,x,NA,LC,H,NA
Chaenopsis ocellata,Bluethroat pikeblenny,x-MNS,NA,LC,I,NA
Chaenopsis UNK,Pike blenny,x-MNS,NA,NA,I,NA
Chaetodon sedentarius,Reef butterflyfish,x,NA,LC,I,NA
Chromis enchrysura,Yellowtail reeffish,x,NA,LC,I,NA
Chromis scotti,Purple reeffish,x,NA,LC,Z,NA
Clupeidae UNK,Herrings,x,NA,NA,Z,NA
Coryphopterus UNK,Goby,x-UNK,NA,NA,I,NA
Coryphopterus punctipectophorus,Spotted Goby,x-MNS,NA,LC,NA,NA
Ctenogobius stigmaticus,Marked goby,x,NA,LC,I,NA
Decapterus macarellus,Mackerel scad,x-MNS,NA,LC,Z,NA
Decapterus punctatus,Round scad,x-MNS,NA,LC,NA,NA
Decapterus UNK,Scad,x-UNK,NA,NA,Z,NA
Dermatolepis inermis,Marbled grouper,x,NA,DD,P,SP
Diplectrum bivittatum,Dwarf sand perch,x,NA,LC,I,NA
Diplectrum formosum,Sand perch,x,NA,LC,P,SP
Diplodus holbrooki,Spottail pinfish,x,NA,NA,H,NA
Doratonotus megalepis,Dwarf wrasse,x-MNS,NA,LC,I,NA
Echeneis naucrates,Sharksucker,x,NA,LC,Z,NA
Echeneis neucratoides,Whitefin sharksucker,x,NA,DD,Z,NA
Elacatinus dilepis,Orangesided goby,x-MNS,NA,NA,I,NA
Elacatinus evelynae,Sharknose goby,x-MNS,NA,LC,I,NA
Elacatinus horsti,Yellowline goby,x-MNS,NA,LC,NA,NA
Elacatinus macrodon,Tiger goby,x-MNS,NA,NA,NA,NA
Elacatinus UNK,Goby,x-MNS,NA,NA,I,NA
Elacatinus xanthiprora,Yellowprow goby,x-MNS,NA,LC,NA,NA
Elagatis bipinnulata,Rainbow runner,x-MNS,NA,LC,P,SP
Emblemaria pandionis,Sailfin blenny,x-MNS,NA,LC,Z,NA
Emblemaria sp,Tube blenny,x-MNS,NA,NA,Z,NA
Emblemariopsis UNK,Blenny,x-MNS,NA,NA,I,NA
Engraulidae UNK,Anchovies,x-UNK,NA,NA,Z,NA
Enneanectes UNK,Triplefin,x-UNK,NA,NA,H,NA
Eucinostomus gula,Silver jenny,x-MNS,NA,LC,I,NA
Eucinostomus UNK,Mojarra,x-UNK,NA,NA,I,NA
Euthynnus alletteratus,Little tuny,x-NRF,NA,LC,P,SP
Gobiidae UNK,Goby,x-MNS,NA,NA,I,NA
Gobiosoma grosvenori,Rockcut goby,x-MNS,NA,LC,I,NA
Gymnothorax UNK,Moray eel,x-UNK,NA,NA,P,SP
Haemulon melanurum,Cottonwick,x,NA,LC,I,NA
Haemulon UNK,Grunt,x-UNK,NA,NA,I,NA
